ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp
2017-11-15 16:30:51+00:00,"iOS 11.0.2 (iPhone9,4)",4226,US,Don't Stop Me Now - Remastered 2011,Queen,Jazz,spotify:track:7hQJA50XrCWABAu5v6QZ4i,clickrow,fwdbtn,False,False,False,
2017-11-15 16:30:53+00:00,"iOS 11.0.2 (iPhone9,4)",1857,US,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,fwdbtn,backbtn,False,False,False,
2017-11-15 16:35:53+00:00,"iOS 11.0.2 (iPhone9,4)",209413,US,Don't Stop Me Now - Remastered 2011,Queen,Jazz,spotify:track:7hQJA50XrCWABAu5v6QZ4i,backbtn,trackdone,False,False,False,
2017-11-15 21:39:32+00:00,Windows 10 (10.0.15063; x64),148500,US,Under Pressure - Remastered 2011,Queen,Hot Space,spotify:track:11IzgLRXV7Cgek3tEgGgjw,trackdone,logout,False,False,False,
2017-11-15 23:37:15+00:00,Windows 10 (10.0.15063; x64),99940,US,Under Pressure - Remastered 2011,Queen,Hot Space,spotify:track:11IzgLRXV7Cgek3tEgGgjw,appload,trackdone,False,False,False,
2017-11-15 23:42:12+00:00,Windows 10 (10.0.15063; x64),296493,US,Somebody To Love - Remastered 2011,Queen,A Day At The Races,spotify:track:6cFZ4PLC19taNlpl9pbGMf,trackdone,trackdone,False,False,False,
2017-11-15 23:48:07+00:00,Windows 10 (10.0.15063; x64),354320,US,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,spotify:track:7tFiyTwD0nx5a1eklYtX2J,trackdone,trackdone,False,False,False,
2017-11-15 23:51:07+00:00,Windows 10 (10.0.15063; x64),179600,US,Killer Queen - Remastered 2011,Queen,Sheer Heart Attack,spotify:track:7GqWnsKhMtEW0nzki5o0d8,trackdone,trackdone,False,False,False,
2017-11-15 23:54:07+00:00,Windows 10 (10.0.15063; x64),179200,US,We Are The Champions - Remastered 2011,Queen,News Of The World,spotify:track:7ccI9cStQbQdystvc6TvxD,trackdone,trackdone,False,False,False,
2017-11-15 23:56:23+00:00,Windows 10 (10.0.15063; x64),134717,US,Radio Ga Ga - Remastered 2011,Queen,The Works - Deluxe Remastered Version,spotify:track:1HmzAZUvhQLhLo2z3ocpZI,trackdone,fwdbtn,False,False,False,
2017-11-15 23:56:29+00:00,Windows 10 (10.0.15063; x64),5720,US,Crazy Little Thing Called Love - Remastered 2011,Queen,The Game,spotify:track:35ItUJlMtjOQW3SSiTCrrw,fwdbtn,endplay,False,False,False,
2017-11-16 02:12:16+00:00,Windows 10 (10.0.15063; x64),110560,US,We Will Rock You - Remastered 2011,Queen,News Of The World,spotify:track:54flyrjcdnQdco7300avMJ,clickrow,logout,False,False,False,
2017-11-16 02:15:29+00:00,Windows 10 (10.0.15063; x64),182706,US,XO TOUR Llif3,Lil Uzi Vert,XO TOUR Llif3,spotify:track:2eMwDehkIC1j68U6FA3Eiq,appload,trackdone,False,False,False,
2017-11-16 02:19:13+00:00,Windows 10 (10.0.15063; x64),146880,US,Dark Queen,Lil Uzi Vert,Luv Is Rage 2,spotify:track:2ZdCrBA52bb4pIG3tOOZiQ,clickrow,endplay,False,False,False,
2017-11-16 02:20:20+00:00,Windows 10 (10.0.15063; x64),66440,US,Song Goes Off,Trey Songz,Tremaine the Album,spotify:track:7L87B1YWTT11I0mSAEYEOF,clickrow,endplay,False,False,False,
2017-11-16 02:23:57+00:00,Windows 10 (10.0.15063; x64),218320,US,rockstar,Post Malone,rockstar,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,appload,trackdone,False,False,False,
2017-11-16 02:24:03+00:00,Windows 10 (10.0.15063; x64),4300,US,Money Made Me Do It,Post Malone,Stoney - Deluxe,spotify:track:1ysAvOdJgUjc6CqOQxepaz,clickrow,endplay,False,False,False,
